id,us,square,sub_square,preservation,length,width,thickness,thermal_alteration,edge_wear,patina
95.1,A2,110,d,mesial,24.8,19.9,5.3,no,1,no
97.1,D6,120,e,proximal,36.3,16.9,4.3,no,0,gley1 7/N
98.1,D6,107,e,proximal,38.4,14.4,4.6,no,1,no
99.1,A1,50,e,proximal,26.2,29,6.2,no,0,no
102.1,A2,66,e,proximal,24.3,15.7,3.8,yes,2,no
103.1,D3d base,47,f,proximal,26,13.4,2.2,no,1,no
104.1,A2,111,a,mesial,20.8,18,2.8,no,0,no
105.1,A2,110,a,mesial,44.6,22.3,5.6,no,0,gley1 7/N-10Y
107.1,A1,72,g,proximal,26.5,18.1,3.8,no,0,7.5YR 5/4
110.1,D6,118,e,proximal,23.9,15,3,no,1,no
112.1,A2,69,b,mesial,17.8,18.9,3.5,no,2,no
113.1,D6,101,g,proximal,33.4,15.7,4.6,no,0,no
114.1,A2,90,d,proximal,23.2,14.1,3.8,yes,0,7.5YR 4/2
115.1,A2,77,f,mesial,12.3,18,3.6,no,1,no
116.1,A2,102,h,proximal,29.8,17.9,5.8,yes,1,gley1 8/N
117.1,A1,59,c,mesial,16.9,12.8,3.9,no,1,no
118.1,A2,69,b,mesial,20,14.2,2.7,no,0,gley1 8/N-10Y
119.1,D3d base,68,b,proximal,35.8,16,4.2,no,0,gley1 5/N
120.1,A1,75,f,proximal,29.3,24.1,7.3,no,0,no
121.1,A1,75,a,proximal,33.6,17.2,4.7,no,0,no
122.1,A2,30,g,mesial,37.2,19.8,3.9,no,0,no
123.1,D6,87,c,proximal,46.5,20.4,4.3,no,0,10YR 6/4-6
124.1,A2,85,g,proximal,26.1,19.3,5.5,yes,0,10YR 6/3
126.1,D3d base,68,b,proximal,19,14.6,3.2,no,2,no
127.1,D6,101,h,proximal,34.3,18.1,6.1,no,1,no
128.1,D3d,65,e,mesial,36.9,17,8.3,no,0,10YR 7/3
129.1,D3b,40,a,proximal,20.6,13.3,2.6,no,1,no
130.1,D3d base,76,i,proximal,31.5,14.7,4,no,0,gley1 7/N-10Y
131.1,D3d base,67,f,proximal,16.9,12.3,1.7,no,1,gley1 7/N
132.1,A2,102,g,proximal,28.7,19.8,4.8,no,0,no
133.1,D6,90,e,proximal,24.2,18.2,6.3,no,2,no
134.1,A2,95,e,proximal,16,17.8,3.7,no,0,no
135.1,A2,105,e,proximal,19.8,22,3.2,no,1,no
138.1,A2,77,f,proximal,22,12.8,3.4,no,1,no
140.1,A1,60,i,proximal,28.3,20.4,4,no,0,no
144.1,A2,91,c,proximal,22.3,12.6,3,no,0,no
145.1,A2,66,b,proximal,21.5,12.9,3.1,no,1,no
146.1,A2,77,i,mesial,16,14.4,4.2,yes,1,no
147.1,A2,110,d,proximal,32.7,16.1,4.3,no,1,no
149.1,D3+D6,101,f,proximal,19.4,13.7,4.3,no,1,no
150.1,A2,110,d,mesial,34.2,14.2,5.3,no,1,2.5Y 6/4
151.1,D3d base,47,b,proximal,17.9,15.2,3.5,no,0,no
152.1,A2,115,f,mesial,19.9,16.4,6.4,yes,2,no
154.1,D3d base,67,f,proximal,26.2,12.2,2.8,no,1,no
157.1,D3+D6,101,d,proximal,22.6,15.4,2.8,no,0,no
158.1,D3+D6,101,c,mesial,29,14.9,3.2,no,0,no
162.1,A2,86,b,proximal,28.2,18,5.8,no,0,no
163.1,A2,115,c,proximal,25.9,13.7,5.1,no,0,gley1 7/N
164.1,A2,100,f,proximal,31.2,15.5,4.8,no,0,no
165.1,A2,110,h,mesial,20.6,13.4,3.9,no,1,no
166.1,A2,110,e,mesial,24.2,14.7,2.5,no,0,no
167.1,A2,92,b,mesial,22.5,15.3,4,no,0,no
169.1,A1,71,c,mesial,20,21.2,4.2,no,0,10YR 7/3
170.1,A2,110,b,mesial,25.3,12,3.3,no,0,gley1 7/N-10Y
