blank.id,complete_blank,conjoins_nr,raw_material,blank_type,blank_size,tool
112,Yes,2,Maiolica,Semi-cortical blade,M,No
113,Yes,2,Scaglia Variegata,Semi-cortical blade,S,No
114,Yes,2,Other/Undetermined,Semi-cortical blade,S,No
115,No,2,Maiolica,Semi-cortical blade,S,No
116,Yes,3,Maiolica,Semi-cortical blade,M,No
117,No,2,Maiolica,Semi-cortical blade,S,No
118,No,2,Maiolica,Semi-cortical blade,S,No
119,Yes,2,Other/Undetermined,Blade,M,Yes
120,Yes,2,Maiolica,Semi-cortical blade,L,Yes
121,Yes,2,Maiolica,Blade,S,Yes
122,No,2,Scaglia Rossa,Blade,M,No
123,Yes,2,Scaglia Variegata,Blade,M,No
124,Yes,2,Maiolica,Blade,M,No
125,Yes,2,Scaglia Variegata,Blade,S,No
126,Yes,2,Scaglia Variegata,Blade,M,No
127,No,2,Maiolica,Semi-cortical blade,M,No
128,No,2,Maiolica,Semi-cortical blade,M,No
129,Yes,2,Scaglia Rossa,Blade,S,No
130,Yes,2,Maiolica,Blade,S,No
131,Yes,2,Maiolica,Blade,S,No
132,Yes,2,Maiolica,Blade,M,No
133,Yes,2,Maiolica,Cortical blade,M,No
134,No,2,Maiolica,Cortical blade,S,No
135,Yes,2,Maiolica,Blade,M,No
136,Yes,2,Maiolica,Blade,S,No
137,Yes,4,Maiolica,Semi-cortical blade,L,No
138,No,2,Radiolarite,Blade,S,No
139,No,2,Radiolarite,Blade,M,No
140,Yes,2,Radiolarite,Blade,M,No
141,No,2,Radiolarite,Blade,S,No
142,Yes,2,Radiolarite,Blade,S,No
143,No,2,Radiolarite,Blade,S,No
144,No,2,Radiolarite,Blade,S,No
145,Yes,2,Radiolarite,Blade,S,No
146,No,2,Other/Undetermined,Blade,S,No
147,Yes,2,Scaglia Variegata,Blade,M,No
148,Yes,2,Scaglia Variegata,Blade,M,Yes
149,Yes,2,Scaglia Variegata,Blade,M,Yes
150,No,2,Scaglia Variegata,Blade,M,Yes
151,No,2,Scaglia Rossa,Blade,M,No
152,No,2,Scaglia Rossa,Blade,M,Yes
153,No,3,Maiolica,Semi-cortical blade,M,No
154,Yes,2,Maiolica,Blade,S,No
155,No,2,Maiolica,Blade,S,No
156,No,2,Maiolica,Semi-cortical blade,S,No
157,Yes,2,Scaglia Variegata,Blade,M,No
158,No,2,Maiolica,Blade,M,No
159,Yes,2,Maiolica,Blade,L,No
160,No,2,Maiolica,Blade,M,No
161,Yes,2,Maiolica,Blade,M,No
162,Yes,2,Scaglia Variegata,Blade,M,No
163,Yes,2,Maiolica,Blade,S,No
164,Yes,2,Maiolica,Blade,M,Yes
165,No,2,Maiolica,Blade,S,Yes
166,No,2,Maiolica,Blade,M,No
167,No,2,Maiolica,Blade,L,Yes
168,No,2,Maiolica,Blade,M,No
169,No,2,Maiolica,Blade,M,No
170,No,2,Maiolica,Blade,S,No
171,No,2,Maiolica,Blade,M,No
172,Yes,2,Maiolica,Blade,S,No
173,No,2,Maiolica,Blade,M,No
174,No,2,Maiolica,Blade,L,No
175,Yes,2,Maiolica,Blade,M,No
176,Yes,2,Maiolica,Blade,L,No
177,No,2,Maiolica,Blade,M,No
178,Yes,2,Maiolica,Blade,S,No
179,Yes,2,Maiolica,Blade,S,No
180,Yes,2,Maiolica,Blade,S,No
181,No,2,Maiolica,Blade,S,No
182,No,2,Maiolica,Blade,M,No
183,Yes,2,Maiolica,Blade,S,No
184,Yes,2,Maiolica,Blade,S,No
185,No,2,Maiolica,Semi-cortical blade,S,No
186,Yes,2,Scaglia Rossa,Blade,L,Yes
187,Yes,2,Other/Undetermined,Blade,L,Yes
188,Yes,2,Maiolica,Blade,L,Yes
189,No,2,Maiolica,Blade,M,No
190,No,2,Maiolica,Blade,M,Yes
191,No,2,Maiolica,Blade,S,Yes
192,No,2,Maiolica,Blade,M,Yes
193,No,2,Other/Undetermined,Semi-cortical blade,M,Yes
194,No,2,Maiolica,Blade,L,No
195,Yes,2,Maiolica,Blade,L,Yes
196,No,2,Other/Undetermined,Semi-cortical blade,S,Yes
197,No,2,Maiolica,Blade,M,Yes
198,Yes,3,Maiolica,Blade,M,No
199,Yes,2,Maiolica,Semi-cortical blade,M,No
200,No,2,Maiolica,Blade,S,Yes
201,No,2,Maiolica,Blade,M,Yes
202,Yes,2,Maiolica,Blade,M,Yes
203,No,2,Maiolica,Blade,M,No
204,Yes,2,Other/Undetermined,Blade,S,No
205,No,2,Maiolica,Blade,M,No
206,No,2,Maiolica,Blade,S,No
207,Yes,2,Maiolica,Blade,S,No
208,Yes,2,Maiolica,Blade,S,No
209,No,2,Maiolica,Blade,L,No
210,No,2,Maiolica,Blade,L,Yes
211,Yes,2,Maiolica,Blade,M,Yes
212,Yes,2,Maiolica,Blade,S,No
213,Yes,2,Maiolica,Blade,L,No
214,Yes,2,Maiolica,Blade,L,No
215,No,2,Maiolica,Blade,S,No
216,Yes,2,Maiolica,Blade,S,No
217,Yes,2,Maiolica,Blade,S,No
218,Yes,2,Maiolica,Blade,M,Yes
219,No,2,Maiolica,Blade,S,No
220,Yes,2,Maiolica,Blade,L,No
221,No,2,Maiolica,Blade,S,No
222,No,2,Maiolica,Blade,M,No
223,No,2,Scaglia Variegata,Semi-cortical blade,L,No
224,Yes,2,Maiolica,Blade,S,No
225,No,2,Scaglia Variegata,Semi-cortical blade,S,No
226,Yes,2,Scaglia Variegata,Blade,S,No
227,No,2,Scaglia Variegata,Blade,M,No
