SU,class,blank,technology,preservation,cortex.y.n,RAW
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Proximal,no,Flake prox
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
A1east,Blank,Flake,Optimal,Mesial,no,Flake mes
