ID,unit,square,sub.square,raw.material,termal.alteration,class,blank,technology,technology.extended,cortex,cortex.y.n,preservation,preservation.extended,length,width,thickness,elongation,robustness,platform.width,platform.thickness,platformW.T.,platform.type,platform.shape,platform.angle,dorsal.thinning,bulb,bulb.type,bulbar.scar,lip,lip.type,curvature,torsion,cross.section,cross.section.symmetry,scar.count,axiality,scar.pattern,distal.end,distal.end.profile,blank.shape,bladelet.neg.blade,blade.neg.flake,typology,retouch.position,dorsal.retouch.localization,ventral.retouch.localization,retouch.length,volume,surface,mesh
RF.b_4122,A2,55,NA,Maiolica,FALSE,Blank,Blade,Semi-cortical,Semi-cortical,33-66%,yes,Proximal,Mesio-proximal,NA,17.60000038,6.800000191,0,2.588235278,3.900000095,1,3.900000095,Plain,Winged,75,Abrasion;Hinged scars,TRUE,Moderate,FALSE,TRUE,Pronounced,Curved,1R,Lateral steep,FALSE,1,NA,Crossed,NA,NA,Sub-parallel,FALSE,FALSE,NA,NA,NA,NA,NA,,,
RF.b_4123,A2,55,NA,Undetermined,TRUE,Blank,Blade,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,NA,18.89999962,5.699999809,0,3.315789518,2.799999952,1.200000048,2.333333201,Plain,Oval,75,Abrasion,TRUE,Pronounced,FALSE,TRUE,Pronounced,Curved,0,Trapezoidal,TRUE,2,NA,Unidirectional parallel,NA,NA,Sub-parallel,FALSE,FALSE,NA,NA,NA,NA,NA,,,
RF.b_4124,A2,55,NA,Maiolica,FALSE,Blank,Blade,Maintenance,Lateral,0%,no,Proximal,Mesio-proximal,NA,18,5.800000191,0,3.103448174,7.599999905,2.200000048,3.454545336,Plain,Oval,75,Abrasion;Hinged scars,FALSE,NA,FALSE,TRUE,Pronounced,Curved slightly,1L,Triangular,TRUE,1,NA,Bidirectional,NA,NA,Sub-parallel,TRUE,FALSE,NA,NA,NA,NA,NA,2110.514404,1849.63363,Yes
RF.b_4125,A2,55,NA,Maiolica,FALSE,Blank,Blade,Maintenance,Lateral,0%,no,Complete,Complete,53,24.20000076,3.599999905,2.190082576,6.722222612,8.399999619,2.099999905,4,Plain,Irregular,75,Abrasion,TRUE,Moderate,TRUE,TRUE,Pronounced,Curved,1R,Polyhedral,TRUE,3,Off-axis right,Unidirectional convergent,Irregular,Plunging,Irregular,FALSE,FALSE,NA,NA,NA,NA,NA,2020.713013,1937.812491,Yes
RF.b_4126,A2,55,NA,Maiolica,FALSE,Blank,Flake,Maintenance,Maintenance,0%,no,Complete,Complete,45,25.39999962,4.300000191,1.77165357,5.906976393,7.199999809,1.700000048,NA,Plain,Irregular,60,Abrasion,FALSE,NA,TRUE,TRUE,Pronounced,Curved,0,Trapezoidal,TRUE,2,Axial,Unidirectional parallel,Convex,Feathered,Irregular,FALSE,TRUE,NA,NA,NA,NA,NA,1402.946411,1618.018537,Yes
RF.b_4127,A2,55,NA,Maiolica,FALSE,Blank,Blade,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,NA,16.29999924,1.700000048,0,9.588234576,1.5,0.800000012,1.874999972,Linear,Linear,60,Abrasion,TRUE,Moderate,FALSE,TRUE,Moderate,Curved,0,Trapezoidal,TRUE,2,NA,Unidirectional parallel,NA,NA,Sub-parallel,FALSE,FALSE,NA,NA,NA,NA,NA,,,
RF.b_4128,A2,55,NA,Maiolica,FALSE,Blank,Blade,Optimal,Optimal,0%,no,Proximal,Proximal,NA,12.69999981,2.799999952,0,4.535714295,3.700000048,1,3.700000048,Plain,Winged,60,Abrasion,FALSE,NA,FALSE,TRUE,Pronounced,Straight,0,Trapezoidal,FALSE,2,NA,Unidirectional parallel,NA,NA,Sub-parallel,FALSE,FALSE,NA,NA,NA,NA,NA,,,
RF.b_4129,A2,55,NA,Undetermined,TRUE,Blank,Blade,Initialization,Cortical,66-99%,yes,Proximal,Mesio-proximal,NA,13.5,3.599999905,0,3.750000099,3,1,3,Plain,Oval,75,Abrasion,TRUE,Moderate,FALSE,TRUE,Pronounced,Straight,0,Triangular,TRUE,1,NA,Unidirectional parallel,NA,NA,Sub-parallel,FALSE,FALSE,NA,NA,NA,NA,NA,,,
RF.b_4130,A2,55,NA,Scaglia.Variegata,FALSE,Blank,Blade,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,NA,13,3,0,4.333333333,3,1,3,Plain,Rectangular,75,Abrasion,TRUE,Moderate,FALSE,TRUE,Pronounced,Straight,0,Trapezoidal,TRUE,2,NA,Unidirectional convergent,NA,NA,Sub-parallel,FALSE,FALSE,NA,NA,NA,NA,NA,,,
RF.b_4131,A2,55,NA,Maiolica,FALSE,Blank,Blade,Optimal,Optimal,0%,no,Proximal,Mesio-proximal,NA,14,2.900000095,0,4.827586048,3.799999952,1.200000048,3.166666501,Plain,Rectangular,75,Abrasion,TRUE,Moderate,TRUE,TRUE,Moderate,Straight,1R,Triangular,TRUE,1,NA,Unidirectional parallel,NA,NA,Sub-parallel,FALSE,FALSE,NA,NA,NA,NA,NA,,,
